id,pregunta
1,"Adjusted net enrollment rate, primary"
2,"Adjusted net enrollment rate, primary, female"
3,"Adjusted net enrollment rate, primary, male"
4,Adolescents out of school
5,"Adolescents out of school, female"
6,"Adolescents out of school, male"
7,Children out of school
8,"Children out of school, female"
9,"Children out of school, male"
10,"Children out of school, primary"
11,"Children out of school, primary, female"
12,"Children out of school, primary, male"
13,"Compulsory education, duration"
14,"Current education expenditure, primary"
15,"Current education expenditure, secondary"
16,"Current education expenditure, tertiary"
17,"Current education expenditure, total"
18,"Educational attainment, at least Bachelor's or equivalent, population 25+, female"
19,"Educational attainment, at least Bachelor's or equivalent, population 25+, male"
20,"Educational attainment, at least Bachelor's or equivalent, population 25+, total"
21,"Educational attainment, at least completed lower secondary, population 25+, female"
22,"Educational attainment, at least completed lower secondary, population 25+, male"
23,"Educational attainment, at least completed lower secondary, population 25+, total"
24,"Educational attainment, at least completed post-secondary, population 25+, female"
25,"Educational attainment, at least completed post-secondary, population 25+, male"
26,"Educational attainment, at least completed post-secondary, population 25+, total"
27,"Educational attainment, at least completed primary, population 25+ years, female"
28,"Educational attainment, at least completed primary, population 25+ years, male"
29,"Educational attainment, at least completed primary, population 25+ years, total"
30,"Educational attainment, at least completed short-cycle tertiary, population 25+, female"
31,"Educational attainment, at least completed short-cycle tertiary, population 25+, male"
32,"Educational attainment, at least completed short-cycle tertiary, population 25+, total"
33,"Educational attainment, at least completed upper secondary, population 25+, female"
34,"Educational attainment, at least completed upper secondary, population 25+, male"
35,"Educational attainment, at least completed upper secondary, population 25+, total"
36,"Educational attainment, at least Master's or equivalent, population 25+, female"
37,"Educational attainment, at least Master's or equivalent, population 25+, male"
38,"Educational attainment, at least Master's or equivalent, population 25+, total"
39,"Educational attainment, Doctoral or equivalent, population 25+, female"
40,"Educational attainment, Doctoral or equivalent, population 25+, male"
41,"Educational attainment, Doctoral or equivalent, population 25+, total"
42,Expenditure on primary education
43,Expenditure on secondary education
44,Expenditure on tertiary education
45,"Government expenditure on education, total"
46,"Government expenditure per student, primary"
47,"Government expenditure per student, secondary"
48,"Government expenditure per student, tertiary"
49,"Gross intake ratio in first grade of primary education, female"
50,"Gross intake ratio in first grade of primary education, male"
51,"Gross intake ratio in first grade of primary education, total"
52,"Labor force, female"
53,"Labor force, total"
54,Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children
55,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children
56,"Literacy rate, adult female"
57,"Literacy rate, adult male"
58,"Literacy rate, adult total"
59,"Literacy rate, youth female"
60,"Literacy rate, youth male"
61,"Literacy rate, youth total"
62,"Literacy rate, youth, gender parity index"
63,"Lower secondary completion rate, female"
64,"Lower secondary completion rate, male"
65,"Lower secondary completion rate, total"
66,Lower secondary school starting age
67,Net intake rate in grade 1
68,"Net intake rate in grade 1, female"
69,"Net intake rate in grade 1, male"
70,Number of deaths ages 10-14 years
71,Number of deaths ages 15-19 years
72,Number of deaths ages 20-24 years
73,Number of deaths ages 5-9 years
74,"Over-age students, primary"
75,"Over-age students, primary, female"
76,"Over-age students, primary, male"
77,"Persistence to grade 5, female"
78,"Persistence to grade 5, male"
79,"Persistence to grade 5, total"
80,"Persistence to last grade of primary, female"
81,"Persistence to last grade of primary, male"
82,"Persistence to last grade of primary, total"
83,Population ages 0-14
84,Population ages 15-64
85,"Preprimary education, duration"
86,"Primary completion rate, female"
87,"Primary completion rate, male"
88,"Primary completion rate, total"
89,"Primary education, duration"
90,"Primary education, pupils"
91,"Primary education, teachers"
92,Primary school starting age
93,Probability of dying among adolescents ages 10-14 years
94,Probability of dying among adolescents ages 15-19 years
95,Probability of dying among children ages 5-9 years
96,Probability of dying among youth ages 20-24 years
97,Progression to secondary school
98,"Progression to secondary school, female"
99,"Progression to secondary school, male"
100,"Pupil-teacher ratio, lower secondary"
101,"Pupil-teacher ratio, preprimary"
102,"Pupil-teacher ratio, primary"
103,"Pupil-teacher ratio, secondary"
104,"Pupil-teacher ratio, tertiary"
105,"Pupil-teacher ratio, upper secondary"
106,"Repeaters, primary, female"
107,"Repeaters, primary, male"
108,"Repeaters, primary, total"
109,"School enrollment, preprimary"
110,"School enrollment, preprimary, female"
111,"School enrollment, preprimary, male"
112,"School enrollment, primary"
113,"School enrollment, primary and secondary, gender parity index"
114,"School enrollment, primary, female"
115,"School enrollment, primary, gender parity index"
116,"School enrollment, primary, male"
117,"School enrollment, primary, private"
118,"School enrollment, secondary"
119,"School enrollment, secondary, female"
120,"School enrollment, secondary, gender parity index"
121,"School enrollment, secondary, male"
122,"School enrollment, secondary, private"
123,"School enrollment, tertiary"
124,"School enrollment, tertiary, female"
125,"School enrollment, tertiary, gender parity index"
126,"School enrollment, tertiary, male"
127,"Secondary education, duration"
128,"Secondary education, general pupils"
129,"Secondary education, pupils"
130,"Secondary education, teachers"
131,"Secondary education, teachers, female"
132,"Secondary education, vocational pupils"
133,"Tertiary education, academic staff"
134,Trained teachers in lower secondary education
135,"Trained teachers in lower secondary education, female"
136,"Trained teachers in lower secondary education, male"
137,Trained teachers in preprimary education
138,"Trained teachers in preprimary education, female"
139,"Trained teachers in preprimary education, male"
140,Trained teachers in primary education
141,"Trained teachers in primary education, female"
142,"Trained teachers in primary education, male"
143,Trained teachers in secondary education
144,"Trained teachers in secondary education, female"
145,"Trained teachers in secondary education, male"
146,Trained teachers in upper secondary education
147,"Trained teachers in upper secondary education, female"
148,"Trained teachers in upper secondary education, male"
149,"Unemployment, female"
150,"Unemployment, male"
151,"Unemployment, total"
